"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"93",-3.56e-281,-3.47e-281,-3.47e-281,-3.55e-281,-3.47e-281,-3.47e-281,-3.55e-281,-3.56e-281,-3.47e-281,-3.55e-281,-3.56e-281,-3.47e-281
"94",-9.72e-281,-9.47e-281,-9.46e-281,-9.72e-281,-9.47e-281,-9.46e-281,-9.72e-281,-9.72e-281,-9.46e-281,-9.72e-281,-9.72e-281,-9.47e-281
"95",-2.63e-280,-2.58e-280,-2.57e-280,-2.63e-280,-2.58e-280,-2.57e-280,-2.63e-280,-2.63e-280,-2.57e-280,-2.63e-280,-2.63e-280,-2.58e-280
"96",-7.14e-280,-6.97e-280,-6.97e-280,-7.13e-280,-6.97e-280,-6.97e-280,-7.13e-280,-7.14e-280,-6.97e-280,-7.13e-280,-7.14e-280,-6.97e-280
"97",-1.96e-279,-1.91e-279,-1.95e-279,-1.94e-279,-1.91e-279,-1.95e-279,-1.94e-279,-1.96e-279,-1.95e-279,-1.94e-279,-1.96e-279,-1.91e-279
"98",-5.29e-279,-5.12e-279,-5.18e-279,-5.26e-279,-5.12e-279,-5.18e-279,-5.26e-279,-5.29e-279,-5.18e-279,-5.26e-279,-5.29e-279,-5.12e-279
"99",-1.43e-278,-1.39e-278,-1.39e-278,-1.43e-278,-1.39e-278,-1.39e-278,-1.43e-278,-1.43e-278,-1.39e-278,-1.43e-278,-1.43e-278,-1.39e-278
"100",-3.9e-278,-3.79e-278,-3.83e-278,-3.91e-278,-3.79e-278,-3.83e-278,-3.91e-278,-3.9e-278,-3.83e-278,-3.91e-278,-3.9e-278,-3.79e-278
"101",-1.06e-277,-1.04e-277,-1.04e-277,-1.06e-277,-1.04e-277,-1.04e-277,-1.06e-277,-1.06e-277,-1.04e-277,-1.06e-277,-1.06e-277,-1.04e-277
"102",-2.91e-277,-2.82e-277,-2.84e-277,-2.92e-277,-2.82e-277,-2.84e-277,-2.92e-277,-2.91e-277,-2.84e-277,-2.92e-277,-2.91e-277,-2.82e-277
"103",-7.89e-277,-7.7e-277,-7.71e-277,-7.9e-277,-7.7e-277,-7.71e-277,-7.9e-277,-7.89e-277,-7.71e-277,-7.9e-277,-7.89e-277,-7.7e-277
"104",-2.16e-276,-2.1e-276,-2.1e-276,-2.16e-276,-2.1e-276,-2.1e-276,-2.16e-276,-2.16e-276,-2.1e-276,-2.16e-276,-2.16e-276,-2.1e-276
